college,year,stream,cgpa,12th,10th,career,parents,income,locality,state
IIITs,2nd,"Computer science and engineering,",<6,Private School,Private School,Higher study,Public Sector,> 10 lakhs,Urban,Rajasthan
Government,4th,"Chemical engineering,",6-8,Private School,Private School,Public Sector Job,Public Sector,3-6 lakhs,Urban,Haryana
NITs,4th,"Civil engineering,",6-8,Private School,Private School,Public Sector Job,Self-Employed,< 3 lakhs,Rural,Rajasthan
Government,4th,"Electronics and communication engineering,",6-8,Private School,Private School,Entrepreneurship,Public Sector,> 10 lakhs,Urban,Delhi
Private,3rd,"Information technology,",6-8,Private School,Private School,Private Sector job,Business,3-6 lakhs,Urban,Uttar Pradesh
IIITs,1st,"Computer science and engineering,",>8,Private School,Private School,Private Sector job,Self-Employed,3-6 lakhs,Urban,Uttar Pradesh
IIITs,2nd,"Electronics and communication engineering,",<6,Public School,Public School,Public Sector Job,Self-Employed,< 3 lakhs,Rural,Bihar
IIITs,2nd,"Computer science and engineering,",6-8,Private School,Private School,Private Sector job,Public Sector,6-10 lakhs,Urban,Uttar Pradesh
IIITs,3rd,"Electronics and communication engineering,",6-8,Private School,Private School,Private Sector job,Private Sector,< 3 lakhs,Urban,Rajasthan
IIITs,1st,"Electronics and communication engineering,",<6,Private School,Private School,Entrepreneurship,Business,> 10 lakhs,Urban,Uttar Pradesh
IIITs,2nd,"Electronics and communication engineering,",>8,Private School,Private School,Public Sector Job,Public Sector,> 10 lakhs,Urban,Rajasthan
IIITs,1st,"Computer science and engineering,",>8,Private School,Private School,Private Sector job,Public Sector,6-10 lakhs,Urban,Madhya Pradesh
IIITs,2nd,"Computer science and engineering,",6-8,Public School,Public School,Private Sector job,Defence,3-6 lakhs,Rural,Rajasthan
IIITs,1st,"Computer science and engineering,",>8,Private School,Private School,Private Sector job,Self-Employed,< 3 lakhs,Urban,Rajasthan
IIITs,4th,"Computer science and engineering,",>8,Private School,Private School,Private Sector job,Public Sector,> 10 lakhs,Urban,Rajasthan
IIITs,3rd,"Electronics and communication engineering,",6-8,Private School,Public School,Public Sector Job,Defence,3-6 lakhs,Rural,Rajasthan
IIITs,2nd,"Computer science and engineering,",>8,Private School,Private School,Public Sector Job,Business,3-6 lakhs,Urban,Uttar Pradesh
IIITs,2nd,"Computer science and engineering,",>8,Public School,Public School,Private Sector job,Public Sector,6-10 lakhs,Urban,Rajasthan
NITs,1st,"Electrical engineering,",>8,Private School,Private School,Public Sector Job,Self-Employed,< 3 lakhs,Rural,Uttar Pradesh
IIITs,2nd,"Computer science and engineering,",>8,Private School,Private School,Public Sector Job,Public Sector,6-10 lakhs,Urban,Rajasthan
IITs,3rd,"Civil engineering,",<6,Private School,Private School,Entrepreneurship,Business,3-6 lakhs,Urban,Delhi
Private,4th,"Mechanical engineering,",>8,Public School,Public School,Private Sector job,Public Sector,> 10 lakhs,Urban,Rajasthan
Government,3rd,"Electronics and communication engineering,",6-8,Private School,Private School,Private Sector job,Self-Employed,< 3 lakhs,Urban,Uttar Pradesh
NITs,2nd,"Civil engineering,",6-8,Public School,Public School,Public Sector Job,Business,3-6 lakhs,Urban,Rajasthan
NITs,4th,Others,6-8,Private School,Private School,Public Sector Job,Public Sector,3-6 lakhs,Urban,Jharkhand
Private,4th,"Mechanical engineering,",6-8,Private School,Private School,Entrepreneurship,Self-Employed,3-6 lakhs,Urban,Delhi
Private,4th,"Computer science and engineering,",>8,Private School,Private School,Private Sector job,Business,> 10 lakhs,Urban,Delhi
Private,4th,"Computer science and engineering,",6-8,Private School,Private School,Private Sector job,Public Sector,> 10 lakhs,Urban,Delhi
IIITs,1st,"Computer science and engineering,",<6,Public School,Private School,Private Sector job,Public Sector,< 3 lakhs,Rural,Uttar Pradesh
IIITs,3rd,"Electronics and communication engineering,",6-8,Private School,Private School,Public Sector Job,Public Sector,3-6 lakhs,Urban,Bihar
IIITs,3rd,"Electronics and communication engineering,",6-8,Private School,Private School,Public Sector Job,Public Sector,3-6 lakhs,Urban,Uttar Pradesh
Government,3rd,"Mechanical engineering,",6-8,Public School,Public School,Public Sector Job,Self-Employed,< 3 lakhs,Rural,Uttar Pradesh
IIITs,2nd,"Computer science and engineering,",6-8,Private School,Private School,Private Sector job,Business,3-6 lakhs,Urban,Uttar Pradesh
IIITs,3rd,"Electronics and communication engineering,",6-8,Private School,Private School,Entrepreneurship,Public Sector,> 10 lakhs,Urban,Uttar Pradesh
Private,4th,"Mechanical engineering,",>8,Public School,Public School,Public Sector Job,Public Sector,> 10 lakhs,Urban,Rajasthan
